,Date,Home Team,Visitor Team,Home Team Score,Visitor Team Score,Point Difference,Home Win,Home Loss
120,2021-04-16T00:00:00.000Z,Houston Rockets,Denver Nuggets,99,128,-29,0,1
121,2021-04-12T00:00:00.000Z,Dallas Mavericks,Philadelphia 76ers,95,113,-18,0,1
122,2021-04-07T00:00:00.000Z,Indiana Pacers,Minnesota Timberwolves,141,137,4,1,0
123,2021-04-29T00:00:00.000Z,Indiana Pacers,Brooklyn Nets,113,130,-17,0,1
124,2021-04-26T00:00:00.000Z,Detroit Pistons,Atlanta Hawks,100,86,14,1,0
125,2021-04-20T00:00:00.000Z,New York Knicks,Charlotte Hornets,109,97,12,1,0
126,2021-04-14T00:00:00.000Z,Charlotte Hornets,Cleveland Cavaliers,90,103,-13,0,1
127,2021-05-07T00:00:00.000Z,Charlotte Hornets,Orlando Magic,122,112,10,1,0
128,2021-04-11T00:00:00.000Z,Denver Nuggets,Boston Celtics,87,105,-18,0,1
129,2021-04-24T00:00:00.000Z,New York Knicks,Toronto Raptors,120,103,17,1,0
130,2021-05-09T00:00:00.000Z,Charlotte Hornets,New Orleans Pelicans,110,112,-2,0,1
131,2021-05-02T00:00:00.000Z,Houston Rockets,New York Knicks,97,122,-25,0,1
132,2021-04-19T00:00:00.000Z,Los Angeles Lakers,Utah Jazz,97,111,-14,0,1
133,2021-04-28T00:00:00.000Z,Memphis Grizzlies,Portland Trail Blazers,109,130,-21,0,1
134,2021-05-14T00:00:00.000Z,Philadelphia 76ers,Orlando Magic,122,97,25,1,0
135,2021-05-04T00:00:00.000Z,Detroit Pistons,Charlotte Hornets,99,102,-3,0,1
136,2021-04-23T00:00:00.000Z,Atlanta Hawks,Miami Heat,118,103,15,1,0
137,2021-05-06T00:00:00.000Z,Indiana Pacers,Atlanta Hawks,133,126,7,1,0
138,2021-05-01T00:00:00.000Z,Cleveland Cavaliers,Miami Heat,107,124,-17,0,1
139,2021-05-08T00:00:00.000Z,Utah Jazz,Houston Rockets,124,116,8,1,0
140,2021-05-10T00:00:00.000Z,Memphis Grizzlies,New Orleans Pelicans,115,110,5,1,0
141,2021-05-15T00:00:00.000Z,Indiana Pacers,Los Angeles Lakers,115,122,-7,0,1
142,2021-05-13T00:00:00.000Z,Minnesota Timberwolves,Denver Nuggets,103,114,-11,0,1
143,2021-05-16T00:00:00.000Z,Atlanta Hawks,Houston Rockets,124,95,29,1,0
144,2021-03-20T00:00:00.000Z,Memphis Grizzlies,Golden State Warriors,111,103,8,1,0
145,2021-05-07T00:00:00.000Z,Philadelphia 76ers,New Orleans Pelicans,109,107,2,1,0
146,2021-03-15T00:00:00.000Z,Charlotte Hornets,Sacramento Kings,122,116,6,1,0
147,2021-03-14T00:00:00.000Z,New Orleans Pelicans,LA Clippers,135,115,20,1,0
148,2021-04-08T00:00:00.000Z,Oklahoma City Thunder,Cleveland Cavaliers,102,129,-27,0,1
149,2021-04-30T00:00:00.000Z,Boston Celtics,San Antonio Spurs,143,140,3,1,0
150,2021-04-26T00:00:00.000Z,Washington Wizards,San Antonio Spurs,143,146,-3,0,1
151,2021-04-03T00:00:00.000Z,Philadelphia 76ers,Minnesota Timberwolves,122,113,9,1,0
152,2021-03-19T00:00:00.000Z,Boston Celtics,Sacramento Kings,96,107,-11,0,1
153,2021-04-28T00:00:00.000Z,Philadelphia 76ers,Atlanta Hawks,127,83,44,1,0
154,2021-04-18T00:00:00.000Z,Atlanta Hawks,Indiana Pacers,129,117,12,1,0
155,2021-04-11T00:00:00.000Z,Orlando Magic,Milwaukee Bucks,87,124,-37,0,1
156,2021-04-09T00:00:00.000Z,Atlanta Hawks,Chicago Bulls,120,108,12,1,0
157,2021-03-23T00:00:00.000Z,Golden State Warriors,Philadelphia 76ers,98,108,-10,0,1
158,2021-04-13T00:00:00.000Z,Toronto Raptors,Atlanta Hawks,103,108,-5,0,1
159,2021-03-28T00:00:00.000Z,Denver Nuggets,Atlanta Hawks,126,102,24,1,0
160,2021-03-18T00:00:00.000Z,Portland Trail Blazers,New Orleans Pelicans,101,93,8,1,0
161,2021-04-16T00:00:00.000Z,Chicago Bulls,Memphis Grizzlies,115,126,-11,0,1
162,2021-04-20T00:00:00.000Z,Portland Trail Blazers,LA Clippers,112,113,-1,0,1
163,2021-03-22T00:00:00.000Z,San Antonio Spurs,Charlotte Hornets,97,100,-3,0,1
164,2021-03-17T00:00:00.000Z,Philadelphia 76ers,Milwaukee Bucks,105,109,-4,0,1
165,2021-04-02T00:00:00.000Z,New York Knicks,Dallas Mavericks,86,99,-13,0,1
166,2021-03-24T00:00:00.000Z,Indiana Pacers,Detroit Pistons,116,111,5,1,0
167,2021-04-14T00:00:00.000Z,Philadelphia 76ers,Brooklyn Nets,123,117,6,1,0
168,2021-04-05T00:00:00.000Z,San Antonio Spurs,Cleveland Cavaliers,101,125,-24,0,1
169,2021-04-23T00:00:00.000Z,Golden State Warriors,Denver Nuggets,118,97,21,1,0
170,2021-03-27T00:00:00.000Z,San Antonio Spurs,Chicago Bulls,120,104,16,1,0
171,2021-03-21T00:00:00.000Z,Denver Nuggets,New Orleans Pelicans,108,113,-5,0,1
172,2021-03-29T00:00:00.000Z,New York Knicks,Miami Heat,88,98,-10,0,1
173,2021-03-16T00:00:00.000Z,Chicago Bulls,Oklahoma City Thunder,123,102,21,1,0
174,2021-04-07T00:00:00.000Z,Orlando Magic,Washington Wizards,116,131,-15,0,1
175,2021-04-21T00:00:00.000Z,Toronto Raptors,Brooklyn Nets,114,103,11,1,0
176,2021-05-13T00:00:00.000Z,Phoenix Suns,Portland Trail Blazers,118,117,1,1,0
177,2021-04-24T00:00:00.000Z,Milwaukee Bucks,Philadelphia 76ers,132,94,38,1,0
178,2021-04-01T00:00:00.000Z,New Orleans Pelicans,Orlando Magic,110,115,-5,0,1
179,2021-03-26T00:00:00.000Z,Dallas Mavericks,Indiana Pacers,94,109,-15,0,1
180,2021-05-04T00:00:00.000Z,Milwaukee Bucks,Brooklyn Nets,124,118,6,1,0
181,2021-05-01T00:00:00.000Z,Houston Rockets,Golden State Warriors,87,113,-26,0,1
182,2021-04-04T00:00:00.000Z,LA Clippers,Los Angeles Lakers,104,86,18,1,0
183,2021-03-31T00:00:00.000Z,Memphis Grizzlies,Utah Jazz,107,111,-4,0,1
184,2021-04-12T00:00:00.000Z,Orlando Magic,San Antonio Spurs,97,120,-23,0,1
185,2021-05-08T00:00:00.000Z,Denver Nuggets,Brooklyn Nets,119,125,-6,0,1
186,2021-04-19T00:00:00.000Z,Boston Celtics,Chicago Bulls,96,102,-6,0,1
187,2021-04-06T00:00:00.000Z,Atlanta Hawks,New Orleans Pelicans,123,107,16,1,0
188,2021-04-17T00:00:00.000Z,Chicago Bulls,Cleveland Cavaliers,106,96,10,1,0
189,2021-05-05T00:00:00.000Z,Cleveland Cavaliers,Portland Trail Blazers,105,141,-36,0,1
190,2021-04-27T00:00:00.000Z,Golden State Warriors,Dallas Mavericks,103,133,-30,0,1
191,2021-04-29T00:00:00.000Z,Houston Rockets,Milwaukee Bucks,143,136,7,1,0
192,2021-05-02T00:00:00.000Z,Boston Celtics,Portland Trail Blazers,119,129,-10,0,1
193,2021-05-09T00:00:00.000Z,Cleveland Cavaliers,Dallas Mavericks,97,124,-27,0,1
194,2021-05-06T00:00:00.000Z,Detroit Pistons,Memphis Grizzlies,111,97,14,1,0
195,2021-05-03T00:00:00.000Z,Washington Wizards,Indiana Pacers,154,141,13,1,0
196,2021-05-10T00:00:00.000Z,San Antonio Spurs,Milwaukee Bucks,146,125,21,1,0
197,2021-05-11T00:00:00.000Z,Boston Celtics,Miami Heat,121,129,-8,0,1
198,2021-05-16T00:00:00.000Z,Toronto Raptors,Indiana Pacers,113,125,-12,0,1
199,2021-05-16T00:00:00.000Z,Brooklyn Nets,Cleveland Cavaliers,123,109,14,1,0
200,2021-05-15T00:00:00.000Z,New York Knicks,Charlotte Hornets,118,109,9,1,0
201,2021-05-05T00:00:00.000Z,Houston Rockets,Philadelphia 76ers,115,135,-20,0,1
202,2021-04-06T00:00:00.000Z,Indiana Pacers,Chicago Bulls,97,113,-16,0,1
203,2021-04-20T00:00:00.000Z,Sacramento Kings,Minnesota Timberwolves,120,134,-14,0,1
204,2021-04-01T00:00:00.000Z,Miami Heat,Golden State Warriors,116,109,7,1,0
205,2021-04-14T00:00:00.000Z,Minnesota Timberwolves,Milwaukee Bucks,105,130,-25,0,1
206,2021-04-07T00:00:00.000Z,Atlanta Hawks,Memphis Grizzlies,113,131,-18,0,1
207,2021-05-15T00:00:00.000Z,Milwaukee Bucks,Miami Heat,122,108,14,1,0
208,2021-05-04T00:00:00.000Z,Miami Heat,Dallas Mavericks,113,127,-14,0,1
209,2021-04-02T00:00:00.000Z,Memphis Grizzlies,Minnesota Timberwolves,120,108,12,1,0
210,2021-03-17T00:00:00.000Z,Dallas Mavericks,LA Clippers,105,89,16,1,0
211,2021-04-18T00:00:00.000Z,New York Knicks,New Orleans Pelicans,122,112,10,1,0
212,2021-03-26T00:00:00.000Z,New Orleans Pelicans,Denver Nuggets,108,113,-5,0,1
213,2021-03-24T00:00:00.000Z,Orlando Magic,Phoenix Suns,112,111,1,1,0
214,2021-04-08T00:00:00.000Z,Utah Jazz,Portland Trail Blazers,122,103,19,1,0
215,2021-04-26T00:00:00.000Z,Philadelphia 76ers,Oklahoma City Thunder,121,90,31,1,0
216,2021-03-29T00:00:00.000Z,Washington Wizards,Indiana Pacers,132,124,8,1,0
217,2021-03-29T00:00:00.000Z,LA Clippers,Milwaukee Bucks,129,105,24,1,0
218,2021-05-03T00:00:00.000Z,Detroit Pistons,Orlando Magic,112,119,-7,0,1
219,2021-04-09T00:00:00.000Z,Boston Celtics,Minnesota Timberwolves,145,136,9,1,0
220,2021-04-27T00:00:00.000Z,Toronto Raptors,Brooklyn Nets,103,116,-13,0,1
221,2021-03-20T00:00:00.000Z,LA Clippers,Charlotte Hornets,125,98,27,1,0
222,2021-03-22T00:00:00.000Z,Memphis Grizzlies,Boston Celtics,132,126,6,1,0
223,2021-05-14T00:00:00.000Z,Oklahoma City Thunder,Utah Jazz,93,109,-16,0,1
224,2021-03-27T00:00:00.000Z,Minnesota Timberwolves,Houston Rockets,107,129,-22,0,1
225,2021-04-03T00:00:00.000Z,Sacramento Kings,Milwaukee Bucks,128,129,-1,0,1
226,2021-04-10T00:00:00.000Z,Golden State Warriors,Houston Rockets,125,109,16,1,0
227,2021-03-30T00:00:00.000Z,Washington Wizards,Charlotte Hornets,104,114,-10,0,1
228,2021-03-28T00:00:00.000Z,Los Angeles Lakers,Orlando Magic,96,93,3,1,0
229,2021-05-01T00:00:00.000Z,Utah Jazz,Toronto Raptors,106,102,4,1,0
230,2021-05-02T00:00:00.000Z,Charlotte Hornets,Miami Heat,111,121,-10,0,1
231,2021-04-11T00:00:00.000Z,Cleveland Cavaliers,New Orleans Pelicans,109,116,-7,0,1
232,2021-05-07T00:00:00.000Z,Miami Heat,Minnesota Timberwolves,121,112,9,1,0
233,2021-03-23T00:00:00.000Z,Miami Heat,Phoenix Suns,100,110,-10,0,1
234,2021-04-21T00:00:00.000Z,Philadelphia 76ers,Phoenix Suns,113,116,-3,0,1
235,2021-04-04T00:00:00.000Z,Atlanta Hawks,Golden State Warriors,117,111,6,1,0
236,2021-03-31T00:00:00.000Z,Indiana Pacers,Miami Heat,87,92,-5,0,1
237,2021-04-12T00:00:00.000Z,New Orleans Pelicans,Sacramento Kings,117,110,7,1,0
238,2021-05-13T00:00:00.000Z,Charlotte Hornets,LA Clippers,90,113,-23,0,1
239,2021-04-24T00:00:00.000Z,Denver Nuggets,Houston Rockets,129,116,13,1,0
240,2021-04-05T00:00:00.000Z,Minnesota Timberwolves,Sacramento Kings,116,106,10,1,0
241,2021-04-13T00:00:00.000Z,Indiana Pacers,LA Clippers,115,126,-11,0,1
242,2021-05-12T00:00:00.000Z,Cleveland Cavaliers,Boston Celtics,102,94,8,1,0
243,2021-04-28T00:00:00.000Z,Boston Celtics,Charlotte Hornets,120,111,9,1,0
244,2021-05-16T00:00:00.000Z,Golden State Warriors,Memphis Grizzlies,113,101,12,1,0
245,2021-04-16T00:00:00.000Z,Toronto Raptors,Orlando Magic,113,102,11,1,0
246,2021-04-17T00:00:00.000Z,Boston Celtics,Golden State Warriors,119,114,5,1,0
247,2021-05-11T00:00:00.000Z,Chicago Bulls,Brooklyn Nets,107,115,-8,0,1
248,2021-05-10T00:00:00.000Z,Golden State Warriors,Utah Jazz,119,116,3,1,0
249,2021-05-09T00:00:00.000Z,Sacramento Kings,Oklahoma City Thunder,126,98,28,1,0
