,Date,Home Team,Visitor Team,Home Team Score,Visitor Team Score
104,2021-04-06T00:00:00.000Z,Boston Celtics,Philadelphia 76ers,96,106
105,2021-03-30T00:00:00.000Z,Denver Nuggets,Philadelphia 76ers,104,95
106,2021-04-05T00:00:00.000Z,Dallas Mavericks,Utah Jazz,111,103
107,2021-04-25T00:00:00.000Z,Brooklyn Nets,Phoenix Suns,128,119
108,2021-03-31T00:00:00.000Z,Detroit Pistons,Portland Trail Blazers,101,124
109,2021-04-03T00:00:00.000Z,Miami Heat,Cleveland Cavaliers,115,101
110,2021-03-18T00:00:00.000Z,Phoenix Suns,Minnesota Timberwolves,119,123
111,2021-04-04T00:00:00.000Z,Chicago Bulls,Brooklyn Nets,115,107
112,2021-03-19T00:00:00.000Z,Orlando Magic,Brooklyn Nets,121,113
113,2021-04-01T00:00:00.000Z,Brooklyn Nets,Charlotte Hornets,111,89
114,2021-03-21T00:00:00.000Z,Miami Heat,Indiana Pacers,106,109
115,2021-03-20T00:00:00.000Z,Milwaukee Bucks,San Antonio Spurs,120,113
116,2021-04-02T00:00:00.000Z,Boston Celtics,Houston Rockets,118,102
117,2021-04-13T00:00:00.000Z,Utah Jazz,Oklahoma City Thunder,106,96
118,2021-03-22T00:00:00.000Z,Chicago Bulls,Utah Jazz,95,120
119,2021-04-21T00:00:00.000Z,Indiana Pacers,Oklahoma City Thunder,122,116
120,2021-04-16T00:00:00.000Z,Houston Rockets,Denver Nuggets,99,128
121,2021-04-12T00:00:00.000Z,Dallas Mavericks,Philadelphia 76ers,95,113
122,2021-04-07T00:00:00.000Z,Indiana Pacers,Minnesota Timberwolves,141,137
123,2021-04-29T00:00:00.000Z,Indiana Pacers,Brooklyn Nets,113,130
124,2021-04-26T00:00:00.000Z,Detroit Pistons,Atlanta Hawks,100,86
125,2021-04-20T00:00:00.000Z,New York Knicks,Charlotte Hornets,109,97
126,2021-04-14T00:00:00.000Z,Charlotte Hornets,Cleveland Cavaliers,90,103
127,2021-05-07T00:00:00.000Z,Charlotte Hornets,Orlando Magic,122,112
128,2021-04-11T00:00:00.000Z,Denver Nuggets,Boston Celtics,87,105
129,2021-04-24T00:00:00.000Z,New York Knicks,Toronto Raptors,120,103
130,2021-05-09T00:00:00.000Z,Charlotte Hornets,New Orleans Pelicans,110,112
131,2021-05-02T00:00:00.000Z,Houston Rockets,New York Knicks,97,122
132,2021-04-19T00:00:00.000Z,Los Angeles Lakers,Utah Jazz,97,111
133,2021-04-28T00:00:00.000Z,Memphis Grizzlies,Portland Trail Blazers,109,130
134,2021-05-14T00:00:00.000Z,Philadelphia 76ers,Orlando Magic,122,97
135,2021-05-04T00:00:00.000Z,Detroit Pistons,Charlotte Hornets,99,102
136,2021-04-23T00:00:00.000Z,Atlanta Hawks,Miami Heat,118,103
137,2021-05-06T00:00:00.000Z,Indiana Pacers,Atlanta Hawks,133,126
138,2021-05-01T00:00:00.000Z,Cleveland Cavaliers,Miami Heat,107,124
139,2021-05-08T00:00:00.000Z,Utah Jazz,Houston Rockets,124,116
140,2021-05-10T00:00:00.000Z,Memphis Grizzlies,New Orleans Pelicans,115,110
141,2021-05-15T00:00:00.000Z,Indiana Pacers,Los Angeles Lakers,115,122
142,2021-05-13T00:00:00.000Z,Minnesota Timberwolves,Denver Nuggets,103,114
143,2021-05-16T00:00:00.000Z,Atlanta Hawks,Houston Rockets,124,95
144,2021-03-20T00:00:00.000Z,Memphis Grizzlies,Golden State Warriors,111,103
145,2021-05-07T00:00:00.000Z,Philadelphia 76ers,New Orleans Pelicans,109,107
146,2021-03-15T00:00:00.000Z,Charlotte Hornets,Sacramento Kings,122,116
147,2021-03-14T00:00:00.000Z,New Orleans Pelicans,LA Clippers,135,115
148,2021-04-08T00:00:00.000Z,Oklahoma City Thunder,Cleveland Cavaliers,102,129
149,2021-04-30T00:00:00.000Z,Boston Celtics,San Antonio Spurs,143,140
150,2021-04-26T00:00:00.000Z,Washington Wizards,San Antonio Spurs,143,146
151,2021-04-03T00:00:00.000Z,Philadelphia 76ers,Minnesota Timberwolves,122,113
152,2021-03-19T00:00:00.000Z,Boston Celtics,Sacramento Kings,96,107
153,2021-04-28T00:00:00.000Z,Philadelphia 76ers,Atlanta Hawks,127,83
154,2021-04-18T00:00:00.000Z,Atlanta Hawks,Indiana Pacers,129,117
155,2021-04-11T00:00:00.000Z,Orlando Magic,Milwaukee Bucks,87,124
156,2021-04-09T00:00:00.000Z,Atlanta Hawks,Chicago Bulls,120,108
157,2021-03-23T00:00:00.000Z,Golden State Warriors,Philadelphia 76ers,98,108
158,2021-04-13T00:00:00.000Z,Toronto Raptors,Atlanta Hawks,103,108
159,2021-03-28T00:00:00.000Z,Denver Nuggets,Atlanta Hawks,126,102
160,2021-03-18T00:00:00.000Z,Portland Trail Blazers,New Orleans Pelicans,101,93
161,2021-04-16T00:00:00.000Z,Chicago Bulls,Memphis Grizzlies,115,126
162,2021-04-20T00:00:00.000Z,Portland Trail Blazers,LA Clippers,112,113
163,2021-03-22T00:00:00.000Z,San Antonio Spurs,Charlotte Hornets,97,100
164,2021-03-17T00:00:00.000Z,Philadelphia 76ers,Milwaukee Bucks,105,109
165,2021-04-02T00:00:00.000Z,New York Knicks,Dallas Mavericks,86,99
166,2021-03-24T00:00:00.000Z,Indiana Pacers,Detroit Pistons,116,111
167,2021-04-14T00:00:00.000Z,Philadelphia 76ers,Brooklyn Nets,123,117
168,2021-04-05T00:00:00.000Z,San Antonio Spurs,Cleveland Cavaliers,101,125
169,2021-04-23T00:00:00.000Z,Golden State Warriors,Denver Nuggets,118,97
170,2021-03-27T00:00:00.000Z,San Antonio Spurs,Chicago Bulls,120,104
171,2021-03-21T00:00:00.000Z,Denver Nuggets,New Orleans Pelicans,108,113
172,2021-03-29T00:00:00.000Z,New York Knicks,Miami Heat,88,98
173,2021-03-16T00:00:00.000Z,Chicago Bulls,Oklahoma City Thunder,123,102
174,2021-04-07T00:00:00.000Z,Orlando Magic,Washington Wizards,116,131
175,2021-04-21T00:00:00.000Z,Toronto Raptors,Brooklyn Nets,114,103
176,2021-05-13T00:00:00.000Z,Phoenix Suns,Portland Trail Blazers,118,117
177,2021-04-24T00:00:00.000Z,Milwaukee Bucks,Philadelphia 76ers,132,94
178,2021-04-01T00:00:00.000Z,New Orleans Pelicans,Orlando Magic,110,115
179,2021-03-26T00:00:00.000Z,Dallas Mavericks,Indiana Pacers,94,109
180,2021-05-04T00:00:00.000Z,Milwaukee Bucks,Brooklyn Nets,124,118
181,2021-05-01T00:00:00.000Z,Houston Rockets,Golden State Warriors,87,113
182,2021-04-04T00:00:00.000Z,LA Clippers,Los Angeles Lakers,104,86
183,2021-03-31T00:00:00.000Z,Memphis Grizzlies,Utah Jazz,107,111
184,2021-04-12T00:00:00.000Z,Orlando Magic,San Antonio Spurs,97,120
185,2021-05-08T00:00:00.000Z,Denver Nuggets,Brooklyn Nets,119,125
186,2021-04-19T00:00:00.000Z,Boston Celtics,Chicago Bulls,96,102
187,2021-04-06T00:00:00.000Z,Atlanta Hawks,New Orleans Pelicans,123,107
188,2021-04-17T00:00:00.000Z,Chicago Bulls,Cleveland Cavaliers,106,96
189,2021-05-05T00:00:00.000Z,Cleveland Cavaliers,Portland Trail Blazers,105,141
